name,ra,dec,redshift,xcs_r500
SDSSXCS-487,323.7992,-1.0494682,0.33391213,1103.1951275572167
SDSSXCS-17923,350.47041,19.893604,0.31494313,488.75468852522727
SDSSXCS-5977,35.868932,-8.868980699999998,0.16795832,778.0682064602911
SDSSXCS-890,126.48946,4.2460138,0.23492122,960.1691652285194
SDSSXCS-30950,251.92973,34.936056,0.24987537,556.3253487919281
SDSSXCS-11154,349.59,18.734,0.16006234,894.8513823865371
SDSSXCS-225,188.5954,9.7885313,0.22960329,929.6790065336635
SDSSXCS-34,347.95361,3.6796591,0.30071348,814.707213032374
SDSSXCS-35404,30.191204,-6.708112599999999,0.3417674,563.0008291520414
SDSSXCS-120,37.927216,-4.8818112000000005,0.18926916,968.211980170912
SDSSXCS-110,336.52107,17.372292,0.11359597,1172.5938180147475
SDSSXCS-155,323.82011,1.4333368,0.23449183,1337.0305860577657
SDSSXCS-2347,189.67042,9.4769605,0.22824667,836.2564749043244
SDSSXCS-21,140.08869,30.504042,0.30510542,1075.1998349442015
SDSSXCS-176,204.2036,10.440014,0.15694562,758.5282030782445
SDSSXCS-2836,220.58255,22.302753,0.1050965,842.0449819788956
SDSSXCS-15,11.62825,20.467691,0.103966124,850.0812283514175
SDSSXCS-7783,30.429572,-2.1962592,0.19421071,827.6911996130351
SDSSXCS-1018,4.4063253,-0.87619162,0.21440332,902.2592310706574
SDSSXCS-1131,33.111835,-5.6262911,0.29934615,942.8931701895706
SDSSXCS-43,210.25825,2.877328,0.25708973,1140.5955833429487
SDSSXCS-4003,217.95843,13.533210999999998,0.1631074,832.7778552436893
SDSSXCS-62,340.47773,17.53801,0.32349214,1048.6416484799986
SDSSXCS-26424,133.23206000000002,17.96369,0.20101751,533.609718958986
SDSSXCS-134,4.9083898,3.6098177,0.27730444,1123.320736258806
SDSSXCS-31,130.74006,36.365002,0.29645097,1424.4881101072942
SDSSXCS-7405,161.44015,4.340415599999999,0.15054649,792.2444936992645
SDSSXCS-31144,18.604062,0.49461554,0.34936443,543.093308472926
SDSSXCS-14,260.61258,32.132799,0.22932445,1233.2242077052338
SDSSXCS-165,217.61219,24.599226,0.13736627,804.8279916025748
SDSSXCS-28849,17.953107,-0.017865822,0.2743446,605.019750398047
SDSSXCS-28269,194.08956,25.768056,0.24395767,519.0943339406642
SDSSXCS-575,249.90358,47.052785,0.22638986,855.3472821980862
SDSSXCS-7432,196.95654,29.430381,0.2615181,738.2224980763173
SDSSXCS-9313,189.07545,28.983881,0.2214931,828.8988668001388
SDSSXCS-1884,137.21898000000002,28.861933,0.25381398,850.9436080305214
SDSSXCS-19922,126.05448,30.076932,0.31855735,554.8287100545067
SDSSXCS-3746,174.09881,7.2270701,0.11559857,887.3301491492427
SDSSXCS-7247,181.16076,35.375998,0.1896899,340.5055838585081
SDSSXCS-5159,134.16993,5.8953329000000005,0.100435905,866.1191069650715
